"","year_month_day_seq.ymd.","time_slot","event_name","event_location_name","event_postcode","event_street","event_locality","event_start","event_end"
"189","2016-10-28","7:00 pm","Jazz Night: The Jamie Leeming Trio feat Emily Dankworth","Burdall’s Yard","BA1 5NH","7A Anglo Terrace","Bath","October 28, 2016 @ 7:00 pm",NA
"190","2016-10-28","7:30 pm","Mawkin","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 28, 2016 @ 7:30 pm",NA
"191","2016-10-28","8:00 pm","Krowd Keepers Magic Theatre","Ale House","BA1 1NG","1 York Street,  Bath,","Bath,","October 28, 2016 @ 8:00 pm",NA
"192","2016-10-28","8:00 pm","Simon King – Nature Watch Talk","Cheese & Grain,","BA11 1BE ","Market Yard ","Frome","October 28, 2016 @ 8:00 pm",NA
"193","2016-10-29","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"194","2016-10-29","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"195","2016-10-29","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"196","2016-10-29","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"197","2016-10-29","11:00 am","The Gingerbread Man","The Edge","BA2 7AY","University of Bath","Bath","October 29, 2016 @ 11:00 am",NA
"198","2016-10-29","2:30 pm","Jet Set Go! The Cabin Crew Musical","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 29, 2016 @ 2:30 pm",NA
"199","2016-10-29","2:30 pm","Old Theatre Royal Tour","Masonic Hall",NA,"Old Orchard street","Bath","October 29, 2016 @ 2:30 pm",NA
"200","2016-10-29","7:30 pm","The Groundhogs / The Brackish / Sofa","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 29, 2016 @ 7:30 pm",NA
"201","2016-10-30","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"202","2016-10-30","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"203","2016-10-30","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"204","2016-10-30","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"205","2016-10-30","All Day","BathVA Vintage & Antiques Kitchenalia Fair/Great Bath Feast","Green Park Station"," BA1 1JB","Green Park Road,","Bath","October 30, 2016",NA
"206","2016-10-30","1:00 pm","Day of the Dead Fiesta","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 30, 2016 @ 1:00 pm",NA
"207","2016-10-30","2:00 pm","Mariachi Tequila","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 30, 2016 @ 2:00 pm",NA
"208","2016-10-30","8:30 pm","Welcome to a Sunday Song","Star Inn","BA1 5NA ","23 Vineyards","Bath","October 30, 2016 @ 8:30 pm",NA
"209","2016-10-31","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"210","2016-10-31","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"211","2016-10-31","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"212","2016-11-01","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"213","2016-11-01","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"214","2016-11-01","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"215","2016-11-01","All Day","Acoustic Tuesdays","Circo Bar","BA1 2EN","15-18 George Street","Bath","November 1, 2016",NA
"216","2016-11-01","11:00 am","Old Theatre Royal Tour","Masonic Hall",NA,"Old Orchard street","Bath","November 1, 2016 @ 11:00 am",NA
"217","2016-11-01","8:00 pm","Folk Session at Barley Mow","Barley Mow","BA2 6NZ","32 Bathwick Street","Bath","November 1, 2016 @ 8:00 pm","January 17, 2017 @ 8:00 pm"
"218","2016-10-01","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"219","2016-10-01","10:00 am","David Walliams","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 10:00 am",NA
"220","2016-10-01","10:00 am","WINNIE-THE-POOH","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 10:00 am",NA
"221","2016-10-01","10:00 am","Bath Hospital Radio Open Day","Bath Hospital Radio","BA1 3NG","Manor Lodge","Royal United Hospital","October 1, 2016 @ 10:00 am",NA
"222","2016-10-01","10:30 am","HOLLY WEBB","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 10:30 am",NA
"223","2016-10-01","10:30 am","MAKE YOUR OWN POP-UP BOOK","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 10:30 am",NA
"224","2016-10-01","11:45 am","HOW TO BECOME AN ULTIMATE EXPLORER!","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 11:45 am",NA
"225","2016-10-01","11:45 am","HEY DUGGEE!","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 11:45 am",NA
"226","2016-10-01","12:45 pm","CAPTAIN PUG","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 12:45 pm",NA
"227","2016-10-01","1:00 pm","MAKE YOUR OWN POP-UP BOOK","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 1:00 pm",NA
"228","2016-10-01","1:30 pm","ELMER THE PATCHWORK ELEPHANT!","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 1:30 pm",NA
"229","2016-10-01","1:30 pm","A children’s guide to birdwatching","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 1:30 pm",NA
"230","2016-10-01","1:30 pm","Squishy McFluff","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 1:30 pm",NA
"231","2016-10-01","2:30 pm","There’s a Tiger in the Garden","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 2:30 pm",NA
"232","2016-10-01","3:00 pm","LIZ PICHON","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 3:00 pm",NA
"233","2016-10-01","3:15 pm","Meet Maisy and Lucy Cousins","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 3:15 pm",NA
"234","2016-10-01","3:15 pm","ROALD DAHL’S MOST VILLAINOUS VILLAINS","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 3:15 pm",NA
"235","2016-10-01","3:15 pm","Ross Collins","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 3:15 pm",NA
"236","2016-10-01","3:30 pm","Writing Doctor Who","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 3:30 pm",NA
"237","2016-10-01","5:00 pm","George & The Blue Moon with Lucy Hawking","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 5:00 pm",NA
"238","2016-10-01","5:00 pm","Everybody Loves Jane Austen!","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 5:00 pm",NA
"239","2016-10-01","6:30 pm","Marcus Sedgwick","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 6:30 pm",NA
"240","2016-10-01","7:30 pm","Tribute to Otis Redding","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 1, 2016 @ 7:30 pm",NA
"241","2016-10-02","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"242","2016-10-02","All Day","BathVA Vintage & Antiques Student Freshers Fair","Green Park Station"," BA1 1JB","Green Park Road,","Bath","October 2, 2016",NA
"243","2016-10-02","11:00 am","The National Vintage Wedding Fair","Komedia"," BA1 1EP","22-23 Westgate St,","Bath","October 2, 2016 @ 11:00 am",NA
"244","2016-10-02","3:15 pm","The Tigon and the Liger","The Guildhall","BA1 5AW","High Street","Bath","October 2, 2016 @ 3:15 pm",NA
"245","2016-10-02","3:15 pm","Watch Out For Muddy Puddles!","The Guildhall","BA1 5AW","High Street","Bath","October 2, 2016 @ 3:15 pm",NA
"246","2016-10-02","4:45 pm","Stinkbomb and Ketchup-Face","The Guildhall","BA1 5AW","High Street","Bath","October 2, 2016 @ 4:45 pm",NA
"247","2016-10-02","4:45 pm","Martin Brown","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 2, 2016 @ 4:45 pm",NA
"248","2016-10-02","5:00 pm","Lucy Worsley","The Guildhall","BA1 5AW","High Street","Bath","October 2, 2016 @ 5:00 pm",NA
"249","2016-10-03","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"250","2016-10-03","10:00 am","Clara Vulliamy – Dotty Detective","The Guildhall","BA1 5AW","High Street","Bath","October 3, 2016 @ 10:00 am",NA
"251","2016-10-03","11:30 am","Page Fright","The Guildhall","BA1 5AW","High Street","Bath","October 3, 2016 @ 11:30 am",NA
"252","2016-10-03","1:15 pm","HORRIBLE HISTORIES","The Guildhall","BA1 5AW","High Street","Bath","October 3, 2016 @ 1:15 pm",NA
"253","2016-10-03","2:00 pm","Make Your Own Rabbit Ears","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 3, 2016 @ 2:00 pm",NA
"254","2016-10-03","7:00 pm","Frances Hardinge","The Guildhall","BA1 5AW","High Street","Bath","October 3, 2016 @ 7:00 pm",NA
"255","2016-10-04","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"256","2016-10-04","10:00 am","Tom Percival – Little Legends","The Guildhall","BA1 5AW","High Street","Bath","October 4, 2016 @ 10:00 am",NA
"257","2016-10-04","11:30 am","Shane Hegarty – Darkmouth","The Guildhall","BA1 5AW","High Street","Bath","October 4, 2016 @ 11:30 am",NA
"258","2016-10-04","1:15 pm","Caroline Lawrence – How to Tell a Good Story","The Guildhall","BA1 5AW","High Street","Bath","October 4, 2016 @ 1:15 pm",NA
"259","2016-10-04","2:00 pm","Make Your Own Magical Garden","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 4, 2016 @ 2:00 pm",NA
"260","2016-10-04","7:00 pm","Paper Nations: How Can We Keep Creative Writing Alive in Our Schools?","The Guildhall","BA1 5AW","High Street","Bath","October 4, 2016 @ 7:00 pm",NA
"261","2016-10-05","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"262","2016-10-05","10:00 am","Shifty McGifty & Slippery Sam","The Guildhall","BA1 5AW","High Street","Bath","October 5, 2016 @ 10:00 am",NA
"263","2016-10-05","10:30 am","Dinosaur Adventure!","The Guildhall","BA1 5AW","High Street","Bath","October 5, 2016 @ 10:30 am",NA
"264","2016-10-05","11:30 am","Jeremy Strong – The Hundred-Mile An Hour Dog","The Guildhall","BA1 5AW","High Street","Bath","October 5, 2016 @ 11:30 am",NA
"265","2016-10-05","1:15 pm","Lucy Coats – Beasts of Olympus","The Guildhall","BA1 5AW","High Street","Bath","October 5, 2016 @ 1:15 pm",NA
"266","2016-10-05","7:30 pm","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"267","2016-10-06","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"268","2016-10-06","Ongoing","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"269","2016-10-06","10:00 am","A F Harrold – Things You Find in a Poets Beard","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 10:00 am",NA
"270","2016-10-06","10:30 am","That’s Not My Squirrel","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 6, 2016 @ 10:30 am",NA
"271","2016-10-06","11:30 am","Hoorah for Shakespeare!","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 11:30 am",NA
"272","2016-10-06","1:15 pm","Mega Robo Adventures with Neill Cameron","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 1:15 pm",NA
"273","2016-10-06","7:30 pm","Pop-up Opera – Pop-up Opera","Bath Function Rooms",NA,"Bath",NA,"October 6, 2016 @ 7:30 pm",NA
"274","2016-10-07","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"275","2016-10-07","Ongoing","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"276","2016-10-07","10:00 am","Cerrie Burnell","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 10:00 am",NA
"277","2016-10-07","11:30 am","Minibeasts with Jess French","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 11:30 am",NA
"278","2016-10-07","1:15 pm","Hamish and the World Stoppers with Jamie Littler","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 1:15 pm",NA
"279","2016-10-07","7:00 pm","The Majestic | The Maitree Express","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 7, 2016 @ 7:00 pm","October 8, 2016 @ 3:00 am"
"280","2016-10-07","8:00 pm","Krowd Keepers Magic Theatre","Upstairs at the Ale House","BA1 1NG","1 York Street","Bath","October 7, 2016 @ 8:00 pm",NA
"281","2016-10-08","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"282","2016-10-08","Ongoing","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"283","2016-10-08","Ongoing","The Majestic | The Maitree Express","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 7, 2016 @ 7:00 pm","October 8, 2016 @ 3:00 am"
"284","2016-10-08","10:00 am","Workshop: Ribbon Yoyo","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 8, 2016 @ 10:00 am",NA
"285","2016-10-08","10:00 am","Dirty Bertie","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 10:00 am",NA
"286","2016-10-08","10:00 am","Chris Hadfield","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 10:00 am",NA
"287","2016-10-08","10:00 am","Bramble the Brave","Midsomer Norton",NA,"Library",NA,"October 8, 2016 @ 10:00 am",NA
"288","2016-10-08","10:00 am","David O’Doherty and Chris Judge","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 10:00 am",NA
"289","2016-10-08","10:00 am","Technique and Purpose – Bath Society of Artists’ Members Exhibition","BRSLI","BA1 2HN ","16-18 Queen Square","Bath","October 8, 2016 @ 10:00 am",NA
"290","2016-10-08","10:15 am","MUSIC! Sophia Bennett and Robert Muchamore","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 10:15 am",NA
"291","2016-10-08","10:30 am","Where’s the Starfish","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 10:30 am",NA
"292","2016-10-08","11:00 am","Debi Gliori","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 11:00 am",NA
"293","2016-10-08","11:15 am","Bramble the Brave","Midsomer Norton",NA,"Library",NA,"October 8, 2016 @ 11:15 am",NA
"294","2016-10-08","11:30 am","Minibeast Safari with Jess French","Monkton Prep School",NA,NA,"Bath","October 8, 2016 @ 11:30 am",NA
"295","2016-10-08","11:45 am","Abi Elphinstone and Katherine Rundell","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 11:45 am",NA
"296","2016-10-08","11:45 am","Dinosaur Cove","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 11:45 am",NA
"297","2016-10-08","11:45 am","Julian Clary and David Roberts","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 11:45 am",NA
"298","2016-10-08","12:00 pm","NEW WORLDS! Melinda Salisbury, Alwyn Hamilton and Helen Keen","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 12:00 pm",NA
"299","2016-10-08","12:45 pm","Oi Frog!","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 12:45 pm",NA
"300","2016-10-08","1:00 pm","Where’s the Starfish","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 1:00 pm",NA
"301","2016-10-08","1:30 pm","Andy Stanton","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 1:30 pm",NA
"302","2016-10-08","1:30 pm","Beetle Boy","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 1:30 pm",NA
"303","2016-10-08","1:30 pm","Nature Explorer","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 1:30 pm",NA
"304","2016-10-08","1:45 pm","TOUGH STUFF! Meg Rosoff, Kevin Brooks and Clare Furniss","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 1:45 pm",NA
"305","2016-10-08","2:00 pm","Minibeast Safari with Jess French","Monkton Prep School",NA,NA,"Bath","October 8, 2016 @ 2:00 pm",NA
"306","2016-10-08","2:30 pm","Collage Masterclass","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 2:30 pm",NA
"307","2016-10-08","2:30 pm","Polly and the Puffin","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 2:30 pm",NA
"308","2016-10-08","3:00 pm","Chris Riddell- Ask the Laureate!","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 3:00 pm",NA
"309","2016-10-08","3:15 pm","Bear Spotting","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 3:15 pm",NA
"310","2016-10-08","3:15 pm","Sam and Mark","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 3:15 pm",NA
"311","2016-10-08","3:30 pm","IDENTITY! Jenny Downham, Alison Rattle, Lisa Williamson & Harriet Reuter Hapgood      Pirates!","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 3:30 pm",NA
"312","2016-10-08","3:45 pm","Zog and The Flying Doctors","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 3:45 pm",NA
"313","2016-10-08","4:45 pm","Star Wars","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 4:45 pm",NA
"314","2016-10-08","5:00 pm","Michael Morpurgo","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 5:00 pm",NA
"315","2016-10-08","5:15 pm","YA: FROM THE USA! Rachel Cohn and David Levithan","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 5:15 pm",NA
"316","2016-10-08","7:00 pm","STARS COLLIDE! Malorie Blackman and Simon Mayo","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 7:00 pm",NA
"317","2016-10-08","7:30 pm","‘A Night of Orbison’","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 8, 2016 @ 7:30 pm",NA
"318","2016-10-09","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"319","2016-10-09","10:00 am","Nick Sharratt","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 10:00 am",NA
"320","2016-10-09","10:00 am","Charlie & Lola’s Storytime","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 10:00 am",NA
"321","2016-10-09","10:30 am","Thunderbirds are go!","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 10:30 am",NA
"322","2016-10-09","11:30 am","Covers Woodfine Golding Katherine Woodfine and Julia Golding: Mystery Girls","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 11:30 am",NA
"323","2016-10-09","11:30 am","Writing Masterclass with Julia Green: Serious Play","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 9, 2016 @ 11:30 am",NA
"324","2016-10-09","11:45 am","Chris Packham","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 11:45 am",NA
"325","2016-10-09","12:00 pm","Pip and Posy","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 12:00 pm",NA
"326","2016-10-09","1:15 pm","Pirates!","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 1:15 pm",NA
"327","2016-10-09","1:30 pm","Kipper","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 1:30 pm",NA
"328","2016-10-09","1:30 pm","Supertato Veggies Assemble","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 1:30 pm",NA
"329","2016-10-09","2:00 pm","Writing Masterclass with David Almond","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 9, 2016 @ 2:00 pm",NA
"330","2016-10-09","2:45 pm","Cecelia Ahern and Sophie Kinsella","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 2:45 pm",NA
"331","2016-10-09","3:00 pm","I am Bear","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 3:00 pm",NA
"332","2016-10-09","3:00 pm","The Tiger Who Came to Tea","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 9, 2016 @ 3:00 pm",NA
"333","2016-10-09","3:15 pm","Phil Earle","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 3:15 pm",NA
"334","2016-10-09","4:00 pm","Sunny Sundays live music","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 9, 2016 @ 4:00 pm",NA
"335","2016-10-09","4:30 pm","Sarah J. Maas","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 4:30 pm",NA
"336","2016-10-09","4:30 pm","Goosebumps","Victoria Hall",NA,"Radstock",NA,"October 9, 2016 @ 4:30 pm",NA
"337","2016-10-10","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"338","2016-10-11","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"339","2016-10-12","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"340","2016-10-12","9:30 am","Management Workshop","King’s Arms","SN12 6EX",NA,"Melksham","October 12, 2016 @ 9:30 am",NA
"341","2016-10-13","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"342","2016-10-13","7:00 pm","Include Me Out!: the Lives and Loves of a Hollywood Mogul","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 13, 2016 @ 7:00 pm",NA
"343","2016-10-14","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"344","2016-10-14","All Day","Mavis Sparkle","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 14, 2016",NA
"345","2016-10-15","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"346","2016-10-15","7:30 pm","Steely Dan as performed by Nearly Dan","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 15, 2016 @ 7:30 pm",NA
"347","2016-10-16","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"348","2016-10-16","8:00 am","Triathlon Winter Workshop","Urban Training Systems","BA2 4HX","8 Broadway Court, Miles Street","Bath","October 16, 2016 @ 8:00 am",NA
"349","2016-10-16","4:00 pm","Riffs ‘n’ Roasts at the Bath Brewhouse","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 16, 2016 @ 4:00 pm",NA
"350","2016-10-16","7:30 pm","Ben Reel Band","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 16, 2016 @ 7:30 pm",NA
"351","2016-10-17","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"352","2016-10-18","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"353","2016-10-18","10:00 am","City to Countryside Walk","Bath Abbey",NA,"Abbey Churchyard","Bath","October 18, 2016 @ 10:00 am",NA
"354","2016-10-19","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"355","2016-10-20","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"356","2016-10-20","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"357","2016-10-20","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"358","2016-10-20","All Day","RED – Culture, History and Craftsmanship","The Museum of East Asian","BA1 2QJ","12  Bennett Street","Bath","October 20, 2016",NA
"359","2016-10-20","6:30 pm","Autumn Gourmet Dinner","The Shrubbery Restaurant @ Bath College","BA1 1UP","James Street West","Bath","October 20, 2016 @ 6:30 pm",NA
"360","2016-10-21","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"361","2016-10-21","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"362","2016-10-21","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"363","2016-10-21","All Day","Kenneth Armitage 1916 – 2002 Centenary sculpture exhibition","Victoria Art Gallery","BA2 4AT","Bridge Street","Bath","October 21, 2016",NA
"364","2016-10-21","8:00 pm","ABBA Sing Along Live!","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 21, 2016 @ 8:00 pm",NA
"365","2016-10-22","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"366","2016-10-22","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
