"","year_month_day_seq.ymd.","time_slot","event_name","event_location_name","event_postcode","event_street","event_locality","event_start","event_end"
"52","2016-10-06","10:00 am","A F Harrold – Things You Find in a Poets Beard","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 10:00 am",NA
"53","2016-10-06","10:30 am","That’s Not My Squirrel","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 6, 2016 @ 10:30 am",NA
"54","2016-10-06","11:30 am","Hoorah for Shakespeare!","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 11:30 am",NA
"55","2016-10-06","1:15 pm","Mega Robo Adventures with Neill Cameron","The Guildhall","BA1 5AW","High Street","Bath","October 6, 2016 @ 1:15 pm",NA
"56","2016-10-06","7:30 pm","Pop-up Opera – Pop-up Opera","Bath Function Rooms",NA,"Bath",NA,"October 6, 2016 @ 7:30 pm",NA
"57","2016-10-07","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"58","2016-10-07","Ongoing","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"59","2016-10-07","10:00 am","Cerrie Burnell","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 10:00 am",NA
"60","2016-10-07","11:30 am","Minibeasts with Jess French","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 11:30 am",NA
"61","2016-10-07","1:15 pm","Hamish and the World Stoppers with Jamie Littler","The Guildhall","BA1 5AW","High Street","Bath","October 7, 2016 @ 1:15 pm",NA
"62","2016-10-07","7:00 pm","The Majestic | The Maitree Express","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 7, 2016 @ 7:00 pm","October 8, 2016 @ 3:00 am"
"63","2016-10-07","8:00 pm","Krowd Keepers Magic Theatre","Upstairs at the Ale House","BA1 1NG","1 York Street","Bath","October 7, 2016 @ 8:00 pm",NA
"64","2016-10-08","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"65","2016-10-08","Ongoing","Stags and Hens by Willy Russell","The Rondo Theatre","BA1 6RT","St. Saviours Road","Bath","October 5, 2016 @ 7:30 pm","October 8, 2016 @ 7:30 pm"
"66","2016-10-08","Ongoing","The Majestic | The Maitree Express","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 7, 2016 @ 7:00 pm","October 8, 2016 @ 3:00 am"
